PGCname	T
PGC0023337	1
PGC0023340	9
PGC0023362	1
PGC0023367	-2
PGC0023383	-1
PGC0023385	7
PGC0023391	8
PGC0023395	1
PGC0023404	-3
PGC0023407	-1
PGC0023409	1
PGC0023412	1
PGC0023422	-1
PGC0023441	1
PGC0023443	4
PGC0023447	4
PGC0023465	7
PGC0023474	3
PGC0023480	1
PGC0023483	7
PGC0023485	6
PGC0023495	1
PGC0023498	-3
PGC0023499	0
PGC0023501	6
PGC0023504	4
PGC0023512	2
PGC0023513	6
PGC0023519	6
PGC0023522	6
PGC0023542	3
PGC0023546	8
PGC0023552	-3
PGC0023567	3
PGC0023598	6
PGC0023609	4
PGC0023616	3
PGC0023630	3
PGC0023643	6
PGC0023650	3
PGC0023661	7
PGC0023662	5
PGC0023673	-3
PGC0023684	5
PGC0023685	1
PGC0023688	0
PGC0023691	8
PGC0023695	8
PGC0023700	0
PGC0023701	-5
PGC0023705	4
PGC0023711	6
PGC0023717	8
PGC0023725	6
PGC0023741	7
PGC0023769	10
PGC0023788	6
PGC0023812	4
PGC0023816	8
PGC0023834	-6
PGC0023843	5
PGC0023845	8
PGC0023855	1
PGC0023860	3
PGC0023878	6
PGC0023880	6
PGC0023885	8
PGC0023910	7
PGC0023913	5
PGC0023917	-1
PGC0023918	2
PGC0023936	5
PGC0023941	1
PGC0023973	1
PGC0023978	5
PGC0023993	1
PGC0023996	4
PGC0023998	6
PGC0024002	-2
PGC0024082	4
PGC0024104	8
PGC0024108	1
PGC0024111	3
PGC0024152	1
PGC0024156	1
PGC0024166	0
PGC0024230	0
PGC0024235	5
PGC0024242	8
PGC0024244	7
PGC0024299	4
PGC0024309	1
PGC0024348	5
PGC0024351	9
PGC0024372	3
PGC0024374	10
PGC0024399	4
PGC0024423	5
PGC0024428	5
PGC0024438	2
PGC0024442	3
PGC0024453	1
PGC0024470	7
PGC0024475	7
PGC0024493	8
PGC0024506	1
PGC0024509	6
PGC0024517	1
PGC0024528	-1
PGC0024530	3
PGC0024531	4
PGC0024532	5
PGC0024545	6
PGC0024548	7
PGC0024572	1
PGC0024573	8
PGC0024575	4
PGC0024594	8
PGC0024595	6
PGC0024621	4
PGC0024640	8
PGC0024641	4
PGC0024654	3
PGC0024665	1
PGC0024669	-5
PGC0024674	6
PGC0024678	3
PGC0024688	-2
PGC0024707	-3
PGC0024710	0
PGC0024728	-5
PGC0024743	7
PGC0024762	2
PGC0024771	5
PGC0024784	1
PGC0024791	3
PGC0024796	6
PGC0024830	6
PGC0024833	6
PGC0024839	4
PGC0024865	10
PGC0024881	-1
PGC0024884	-1
PGC0024887	7
PGC0024908	4
PGC0024909	-2
PGC0024930	2
PGC0024944	8
PGC0024948	5
PGC0024960	6
PGC0024961	0
PGC0024963	7
PGC0024964	2
PGC0024981	3
PGC0024996	5
PGC0025001	8
PGC0025009	-2
PGC0025012	7
PGC0025020	2
PGC0025065	0
PGC0025081	7
PGC0025086	5
PGC0025128	7
PGC0025134	2
PGC0025142	-1
PGC0025143	-2
PGC0025144	-5
PGC0025147	7
PGC0025154	6
PGC0025161	3
PGC0025172	0
PGC0025185	10
PGC0025194	0
PGC0025210	4
PGC0025224	1
PGC0025225	3
PGC0025226	-3
PGC0025232	10
PGC0025235	8
PGC0025237	6
PGC0025248	3
PGC0025258	5
PGC0025280	-5
PGC0025281	9
PGC0025282	4
PGC0025283	2
PGC0025284	10
PGC0025290	2
PGC0025292	9
PGC0025305	4
PGC0025308	3
PGC0025318	7
PGC0025328	-2
PGC0025331	5
PGC0025341	6
PGC0025352	-2
PGC0025360	4
PGC0025369	7
PGC0025399	2
PGC0025402	-6
PGC0025405	5
PGC0025406	6
PGC0025423	4
PGC0025426	3
PGC0025467	5
PGC0025472	7
PGC0025496	7
PGC0025498	5
PGC0025521	10
PGC0025524	-5
PGC0025525	3
PGC0025533	1
PGC0025545	8
PGC0025547	1
PGC0025556	9
PGC0025562	8
PGC0025571	-2
PGC0025596	7
PGC0025600	1
PGC0025640	4
PGC0025644	8
PGC0025646	-2
PGC0025679	9
PGC0025683	1
PGC0025718	-3
PGC0025726	6
PGC0025735	2
PGC0025757	3
PGC0025781	7
PGC0025806	4
PGC0025836	3
PGC0025845	6
PGC0025847	4
PGC0025858	11
PGC0025861	1
PGC0025870	1
PGC0025875	2
PGC0025876	9
PGC0025910	7
PGC0025911	8
PGC0025915	-2
PGC0025919	9
PGC0025940	9
PGC0025946	4
PGC0025955	-3
PGC0025956	5
PGC0025972	9
PGC0025976	6
PGC0025977	8
PGC0025986	6
PGC0026000	-5
PGC0026002	2
PGC0026012	4
PGC0026013	-3
PGC0026015	4
PGC0026034	1
PGC0026048	5
PGC0026055	2
PGC0026058	5
PGC0026068	6
PGC0026083	9
PGC0026086	6
PGC0026089	0
PGC0026100	2
PGC0026104	9
PGC0026108	9
PGC0026127	2
PGC0026142	10
PGC0026150	8
PGC0026173	6
PGC0026178	1
PGC0026189	8
PGC0026197	2
PGC0026218	8
PGC0026224	8
PGC0026225	6
PGC0026232	1
PGC0026234	6
PGC0026238	6
PGC0026246	1
PGC0026258	2
PGC0026282	4
PGC0026283	6
PGC0026294	7
PGC0026302	-5
PGC0026304	7
PGC0026323	-5
PGC0026329	6
PGC0026330	1
PGC0026338	4
PGC0026340	1
PGC0026345	-2
PGC0026346	-2
PGC0026351	10
PGC0026357	3
PGC0026363	3
PGC0026368	1
PGC0026371	4
PGC0026376	-3
PGC0026377	-5
PGC0026381	6
PGC0026390	4
PGC0026398	-4
PGC0026403	1
PGC0026407	6
PGC0026409	8
PGC0026410	6
PGC0026412	8
PGC0026418	5
PGC0026443	6
PGC0026445	4
PGC0026469	9
PGC0026471	6
PGC0026485	10
PGC0026495	6
PGC0026498	6
PGC0026501	3
PGC0026504	-5
PGC0026512	1
PGC0026517	8
PGC0026528	3
PGC0026538	8
PGC0026540	7
PGC0026541	6
PGC0026543	4
PGC0026553	5
PGC0026556	-1
PGC0026563	5
PGC0026571	-6
PGC0026575	8
PGC0026576	6
PGC0026580	4
PGC0026599	8
PGC0026607	3
PGC0026625	6
PGC0026631	3
PGC0026642	8
PGC0026643	8
PGC0026649	0
PGC0026663	9
PGC0026666	5
PGC0026685	1
PGC0026721	6
PGC0026727	7
PGC0026733	-5
PGC0026739	-1
PGC0026740	3
PGC0026752	8
PGC0026759	1
PGC0026762	8
PGC0026766	4
PGC0026785	-1
PGC0026787	4
PGC0026817	3
PGC0026822	9
PGC0026854	-4
PGC0026856	4
PGC0026871	6
PGC0026873	3
PGC0026895	9
PGC0026899	8
PGC0026903	5
PGC0026904	8
PGC0026932	0
PGC0026939	-2
PGC0026950	-2
PGC0026959	9
PGC0026970	3
PGC0026974	6
PGC0026979	0
PGC0026982	4
PGC0026998	-2
PGC0027016	7
PGC0027029	4
PGC0027041	-1
PGC0027047	6
PGC0027049	-2
PGC0027059	7
PGC0027064	0
PGC0027074	3
PGC0027079	8
PGC0027091	10
PGC0027108	3
PGC0027111	-5
PGC0027121	2
PGC0027154	7
PGC0027166	6
PGC0027169	6
PGC0027219	3
PGC0027248	8
PGC0027261	8
PGC0027266	3
PGC0027282	-1
PGC0027331	8
PGC0027358	3
PGC0027361	3
PGC0027362	-2
PGC0027416	8
PGC0027423	-5
PGC0027472	-2
PGC0027477	3
PGC0027504	8
PGC0027518	3
PGC0027527	5
PGC0027533	6
PGC0027546	-2
PGC0027547	5
PGC0027549	7
PGC0027558	6
PGC0027619	0
PGC0027620	3
PGC0027630	6
PGC0027635	0
PGC0027662	6
PGC0027665	-2
PGC0027681	4
PGC0027709	8
PGC0027716	-2
PGC0027723	4
PGC0027753	-1
PGC0027765	-1
PGC0027777	3
PGC0027780	4
PGC0027784	10
PGC0027785	10
PGC0027789	3
PGC0027800	-1
PGC0027803	4
PGC0027813	-3
PGC0027826	4
PGC0027827	-2
PGC0027830	-3
PGC0027843	2
PGC0027859	2
PGC0027860	2
PGC0027875	10
PGC0027893	6
PGC0027925	4
PGC0027935	10
PGC0027939	1
PGC0027944	2
PGC0027946	4
PGC0027958	0
PGC0027968	7
PGC0027981	2
PGC0027987	7
PGC0027993	8
PGC0027997	7
PGC0027998	-3
PGC0028009	-2
PGC0028010	6
PGC0028018	6
PGC0028026	4
PGC0028032	3
PGC0028033	3
PGC0028054	8
PGC0028099	4
PGC0028101	8
PGC0028120	9
PGC0028126	6
PGC0028148	7
PGC0028186	5
PGC0028196	5
PGC0028197	7
PGC0028225	6
PGC0028240	3
PGC0028259	0
PGC0028269	3
PGC0028270	-5
PGC0028274	3
PGC0028296	6
PGC0028305	10
PGC0028317	10
PGC0028324	9
PGC0028328	4
PGC0028351	7
PGC0028352	8
PGC0028353	2
PGC0028357	3
PGC0028366	6
PGC0028370	10
PGC0028378	10
PGC0028383	7
PGC0028390	8
PGC0028408	10
PGC0028414	-5
PGC0028420	1
PGC0028424	-1
PGC0028452	3
PGC0028463	10
PGC0028470	3
PGC0028489	9
PGC0028495	7
PGC0028498	1
PGC0028517	5
PGC0028520	4
PGC0028531	6
PGC0028542	9
PGC0028551	7
PGC0028563	7
PGC0028590	6
PGC0028617	3
PGC0028623	9
PGC0028627	9
PGC0028630	2
PGC0028645	4
PGC0028655	1
PGC0028672	6
PGC0028699	2
PGC0028714	10
PGC0028741	8
PGC0028757	10
PGC0028789	10
PGC0028796	-5
PGC0028805	3
PGC0028809	3
PGC0028815	-2
PGC0028818	7
PGC0028846	4
PGC0028852	8
PGC0028868	10
PGC0028888	5
PGC0028897	-5
PGC0028910	0
PGC0028913	10
PGC0028939	5
PGC0028947	8
PGC0028949	3
PGC0028964	-3
PGC0028974	-1
PGC0028984	1
PGC0029024	-5
PGC0029030	6
PGC0029036	8
PGC0029043	10
PGC0029050	4
PGC0029057	2
PGC0029061	-3
PGC0029142	0
PGC0029146	-1
PGC0029156	6
PGC0029172	6
PGC0029174	7
PGC0029186	9
PGC0029196	1
PGC0029205	6
PGC0029206	3
PGC0029209	3
PGC0029220	-5
PGC0029229	10
PGC0029230	9
PGC0029237	3
PGC0029247	8
PGC0029249	-5
PGC0029261	6
PGC0029295	6
PGC0029338	-5
PGC0029340	-5
PGC0029365	9
PGC0029413	9
PGC0029415	8
PGC0029427	9
PGC0029428	9
PGC0029459	7
PGC0029460	3
PGC0029468	10
PGC0029469	8
PGC0029472	5
PGC0029474	3
PGC0029475	-2
PGC0029484	3
PGC0029488	11
PGC0029496	4
PGC0029526	6
PGC0029539	4
PGC0029549	9
PGC0029550	8
PGC0029567	2
PGC0029595	10
PGC0029603	9
PGC0029614	6
PGC0029664	4
PGC0029671	5
PGC0029683	6
PGC0029696	3
PGC0029706	1
PGC0029711	5
PGC0029730	-1
PGC0029745	-2
PGC0029746	7
PGC0029747	6
PGC0029798	9
PGC0029805	0
PGC0029807	-4
PGC0029814	0
PGC0029822	-5
PGC0029824	6
PGC0029835	8
PGC0029851	9
PGC0029855	2
PGC0029889	2
PGC0029919	5
PGC0029943	5
PGC0029953	2
PGC0029956	6
PGC0029969	9
PGC0029983	3
PGC0029995	4
PGC0029997	8
PGC0030001	-5
PGC0030018	9
PGC0030027	-3
PGC0030036	2
PGC0030042	10
PGC0030044	3
PGC0030078	-1
PGC0030084	4
PGC0030087	5
PGC0030094	2
PGC0030136	3
PGC0030151	-2
PGC0030153	3
PGC0030176	-1
PGC0030178	5
PGC0030183	3
PGC0030187	10
PGC0030197	5
PGC0030217	5
PGC0030236	2
PGC0030240	-1
PGC0030310	8
PGC0030322	6
PGC0030334	2
PGC0030364	3
PGC0030371	0
PGC0030372	8
PGC0030386	5
PGC0030413	7
PGC0030419	-3
PGC0030430	6
PGC0030449	6
PGC0030459	4
PGC0030462	9
PGC0030463	-1
PGC0030468	6
PGC0030513	9
PGC0030569	6
PGC0030579	6
PGC0030610	0
PGC0030680	4
PGC0030684	6
PGC0030686	-5
PGC0030694	4
PGC0030795	6
PGC0030829	3
PGC0030832	10
PGC0030839	6
PGC0030871	8
PGC0030885	6
PGC0030971	4
PGC0031003	5
PGC0031032	10
PGC0031037	9
PGC0031040	7
PGC0031063	4
PGC0031067	3
PGC0031083	5
PGC0031125	9
PGC0031130	8
PGC0031141	0
PGC0031145	4
PGC0031192	8
PGC0031198	-2
PGC0031235	4
PGC0031236	4
PGC0031269	-2
PGC0031275	5
PGC0031307	9
PGC0031336	2
PGC0031427	10
PGC0031428	4
PGC0031442	9
PGC0031446	2
PGC0031457	-5
PGC0031472	-1
PGC0031477	10
PGC0031528	3
PGC0031539	-2
PGC0031545	4
PGC0031567	2
PGC0031572	1
PGC0031594	8
PGC0031604	2
PGC0031650	8
PGC0031651	4
PGC0031671	7
PGC0031673	3
PGC0031689	-5
PGC0031693	10
PGC0031701	1
PGC0031708	3
PGC0031758	3
PGC0031768	-5
PGC0031771	6
PGC0031782	7
PGC0031817	4
PGC0031834	7
PGC0031845	-5
PGC0031863	1
PGC0031865	7
PGC0031883	5
PGC0031892	3
PGC0031923	9
PGC0031965	1
PGC0031982	5
PGC0032021	3
PGC0032032	-5
PGC0032041	9
PGC0032048	10
PGC0032069	4
PGC0032078	5
PGC0032084	0
PGC0032086	6
PGC0032087	4
PGC0032088	3
PGC0032103	10
PGC0032119	6
PGC0032123	1
PGC0032134	0
PGC0032149	4
PGC0032153	7
PGC0032178	3
PGC0032182	6
PGC0032183	5
PGC0032204	7
PGC0032208	3
PGC0032221	9
PGC0032226	9
PGC0032234	3
PGC0032244	-5
PGC0032245	2
PGC0032248	9
PGC0032249	-3
PGC0032251	5
PGC0032259	8
PGC0032266	4
PGC0032285	-3
PGC0032306	6
PGC0032307	2
PGC0032321	5
PGC0032337	8
PGC0032342	1
PGC0032343	10
PGC0032364	8
PGC0032383	-4
PGC0032384	8
PGC0032385	10
PGC0032390	9
PGC0032396	6
PGC0032405	10
PGC0032423	-5
PGC0032424	3
PGC0032434	6
PGC0032437	8
PGC0032449	4
PGC0032452	1
PGC0032471	11
PGC0032484	4
PGC0032495	5
PGC0032508	-2
PGC0032519	6
PGC0032529	5
PGC0032535	0
PGC0032540	6
PGC0032543	9
PGC0032567	3
PGC0032568	-1
PGC0032570	9
PGC0032579	0
PGC0032584	3
PGC0032595	3
PGC0032604	9
PGC0032611	1
PGC0032613	2
PGC0032614	4
PGC0032616	3
PGC0032626	-3
PGC0032637	3
PGC0032643	9
PGC0032652	8
PGC0032659	-3
PGC0032661	9
PGC0032679	3
PGC0032680	4
PGC0032697	7
PGC0032705	3
PGC0032714	9
PGC0032726	1
PGC0032729	4
PGC0032738	5
PGC0032740	9
PGC0032765	1
PGC0032772	8
PGC0032786	3
PGC0032822	-1
PGC0032831	2
PGC0032850	1
PGC0032854	-2
PGC0032863	4
PGC0032870	10
PGC0032871	8
PGC0032876	8
PGC0032907	9
PGC0032937	1
PGC0032940	-3
PGC0032976	4
PGC0032986	6
PGC0032987	-5
PGC0032991	5
PGC0032995	0
PGC0033002	1
PGC0033004	-2
PGC0033019	6
PGC0033030	-1
PGC0033033	3
PGC0033040	2
PGC0033044	4
PGC0033045	8
PGC0033058	1
PGC0033065	3
PGC0033067	2
PGC0033069	4
PGC0033074	3
PGC0033078	-3
PGC0033081	2
PGC0033090	-5
PGC0033091	-3
PGC0033101	4
PGC0033104	1
PGC0033105	0
PGC0033114	0
PGC0033120	4
PGC0033128	-3
PGC0033138	-3
PGC0033140	5
PGC0033144	-2
PGC0033147	5
PGC0033150	-5
PGC0033153	4
PGC0033158	-2
PGC0033159	1
PGC0033160	-2
PGC0033161	3
PGC0033168	2
PGC0033175	4
PGC0033180	-5
PGC0033188	7
PGC0033190	4
PGC0033198	2
PGC0033203	6
PGC0033220	4
PGC0033234	5
PGC0033238	1
PGC0033240	4
PGC0033242	6
PGC0033257	1
PGC0033269	4
PGC0033294	4
PGC0033310	6
PGC0033312	-5
PGC0033319	4
PGC0033320	3
PGC0033325	5
PGC0033330	4
PGC0033339	-5
PGC0033346	10
PGC0033364	6
PGC0033370	2
PGC0033379	3
PGC0033380	-3
PGC0033386	-4
PGC0033387	4
PGC0033394	-3
PGC0033396	8
PGC0033404	0
PGC0033421	6
PGC0033433	3
PGC0033436	6
PGC0033444	6
PGC0033446	4
PGC0033454	-3
PGC0033455	-1
PGC0033459	-3
PGC0033461	4
PGC0033477	2
PGC0033479	8
PGC0033485	3
PGC0033495	3
PGC0033510	0
PGC0033529	8
PGC0033532	3
PGC0033550	3
PGC0033558	3
PGC0033566	2
PGC0033567	3
PGC0033569	5
PGC0033572	-3
PGC0033573	4
PGC0033577	-1
PGC0033578	-5
PGC0033604	-1
PGC0033608	-2
PGC0033622	5
PGC0033625	8
PGC0033633	8
PGC0033635	8
PGC0033642	5
PGC0033643	2
PGC0033645	4
PGC0033662	-5
PGC0033680	-5
PGC0033686	3
PGC0033689	4
PGC0033704	2
PGC0033712	8
PGC0033716	6
PGC0033719	3
PGC0033729	4
PGC0033749	3
PGC0033760	1
PGC0033783	6
PGC0033792	3
PGC0033803	3
PGC0033806	-1
PGC0033812	4
PGC0033817	4
PGC0033835	6
PGC0033844	0
PGC0033863	-3
PGC0033866	6
PGC0033869	3
PGC0033875	9
PGC0033876	4
PGC0033896	-2
PGC0033901	2
PGC0033902	-4
PGC0033905	10
PGC0033910	-2
PGC0033911	0
PGC0033914	5
PGC0033917	-3
PGC0033929	0
PGC0033930	2
PGC0033934	0
PGC0033942	-3
PGC0033951	-3
PGC0033959	10
PGC0033964	5
PGC0033976	8
PGC0033977	-3
PGC0033982	1
PGC0033998	-3
PGC0034004	-5
PGC0034008	-3
PGC0034009	-2
PGC0034015	0
PGC0034018	6
PGC0034019	2
PGC0034021	-5
PGC0034024	4
PGC0034026	-3
PGC0034029	8
PGC0034030	3
PGC0034039	8
PGC0034062	-5
PGC0034075	-5
PGC0034090	8
PGC0034107	0
PGC0034124	10
PGC0034132	3
PGC0034138	-3
PGC0034140	3
